localTime,refTime,TPS,TxnCount,BlockCount
13 Jun 2023 10:37:46,00:00:00:01,36,181,1
13 Jun 2023 10:37:47,00:00:00:02,2,181,2
13 Jun 2023 10:37:48,00:00:00:03,2,185,3
13 Jun 2023 10:37:49,00:00:00:04,5,410,4
13 Jun 2023 10:37:50,00:00:00:05,10,858,5
13 Jun 2023 10:37:51,00:00:00:06,13,1176,6
13 Jun 2023 10:37:52,00:00:00:07,8,1176,7
13 Jun 2023 10:37:53,00:00:00:08,6,1176,8
13 Jun 2023 10:37:54,00:00:00:09,4,1176,9
13 Jun 2023 10:37:55,00:00:00:10,4,1212,10
13 Jun 2023 10:37:56,00:00:00:11,5,1494,11
13 Jun 2023 10:37:57,00:00:00:12,6,1870,12
13 Jun 2023 10:37:58,00:00:00:13,7,2084,13
13 Jun 2023 10:37:59,00:00:00:14,6,2084,14
13 Jun 2023 10:38:00,00:00:00:15,5,2084,15
13 Jun 2023 10:38:01,00:00:00:16,4,2084,16
13 Jun 2023 10:38:02,00:00:00:17,4,2084,17
13 Jun 2023 10:38:03,00:00:00:18,3,2084,18
13 Jun 2023 10:38:04,00:00:00:19,3,2084,19
13 Jun 2023 10:38:05,00:00:00:20,3,2084,20
13 Jun 2023 10:38:06,00:00:00:21,2,2085,21
13 Jun 2023 10:38:07,00:00:00:22,2,2086,22
13 Jun 2023 10:38:08,00:00:00:23,2,2087,23
13 Jun 2023 10:38:09,00:00:00:24,2,2087,24
13 Jun 2023 10:38:10,00:00:00:25,2,2088,25
13 Jun 2023 10:38:11,00:00:00:26,2,2088,26
13 Jun 2023 10:38:12,00:00:00:27,2,2088,27
13 Jun 2023 10:38:13,00:00:00:28,2,2088,28
13 Jun 2023 10:38:14,00:00:00:29,1,2088,29
13 Jun 2023 10:38:15,00:00:00:30,1,2088,30
13 Jun 2023 10:38:16,00:00:00:31,1,2088,31
13 Jun 2023 10:38:17,00:00:00:32,1,2088,32
13 Jun 2023 10:38:18,00:00:00:33,1,2088,33
13 Jun 2023 10:38:19,00:00:00:34,1,2089,34
13 Jun 2023 10:38:20,00:00:00:35,1,2090,35
13 Jun 2023 10:38:21,00:00:00:36,1,2206,36
13 Jun 2023 10:38:22,00:00:00:37,1,2474,37
13 Jun 2023 10:38:23,00:00:00:38,2,2769,38
13 Jun 2023 10:38:24,00:00:00:39,1,2769,39
13 Jun 2023 10:38:25,00:00:00:40,1,2770,40
13 Jun 2023 10:38:26,00:00:00:41,2,2831,41
13 Jun 2023 10:38:27,00:00:00:42,2,3001,42
13 Jun 2023 10:38:28,00:00:00:43,2,3186,43
13 Jun 2023 10:38:29,00:00:00:44,2,3192,44
13 Jun 2023 10:38:30,00:00:00:45,2,3192,45
13 Jun 2023 10:38:31,00:00:00:46,2,3192,46
13 Jun 2023 10:38:32,00:00:00:47,2,3278,47
13 Jun 2023 10:38:33,00:00:00:48,2,3464,48
13 Jun 2023 10:38:34,00:00:00:49,2,3694,49
13 Jun 2023 10:38:35,00:00:00:50,2,3824,50
13 Jun 2023 10:38:36,00:00:00:51,2,3824,51
13 Jun 2023 10:38:37,00:00:00:52,2,3824,52
13 Jun 2023 10:38:38,00:00:00:53,2,3824,53
13 Jun 2023 10:38:39,00:00:00:54,2,3824,54
13 Jun 2023 10:38:40,00:00:00:55,2,3824,55
13 Jun 2023 10:38:41,00:00:00:56,2,3824,56
13 Jun 2023 10:38:42,00:00:00:57,1,3824,57
13 Jun 2023 10:38:43,00:00:00:58,1,3824,58
13 Jun 2023 10:38:44,00:00:00:59,1,3824,59
13 Jun 2023 10:38:45,00:00:01:00,1,3824,60
13 Jun 2023 10:38:46,00:00:01:01,1,3824,61
13 Jun 2023 10:38:47,00:00:01:02,1,3824,62
13 Jun 2023 10:38:48,00:00:01:03,1,3824,63
13 Jun 2023 10:38:49,00:00:01:04,1,3824,64
13 Jun 2023 10:38:50,00:00:01:05,1,3824,65
13 Jun 2023 10:38:51,00:00:01:06,1,3824,66
13 Jun 2023 10:38:52,00:00:01:07,1,3824,67
13 Jun 2023 10:38:53,00:00:01:08,1,3824,68
13 Jun 2023 10:38:54,00:00:01:09,1,3824,69
13 Jun 2023 10:38:55,00:00:01:10,1,3824,70
13 Jun 2023 10:38:56,00:00:01:11,1,3824,71
13 Jun 2023 10:38:57,00:00:01:12,1,3824,72
13 Jun 2023 10:38:58,00:00:01:13,1,3824,73
